id,REF_1,REF_10,REF_11,REF_2,REF_3,REF_4,REF_5,REF_6,REF_7,REF_8,REF_9,REF_Heizungstausch,REF_Thermische_Sanierung,REF_Year,REF_COUNT
1595,0,0,,1,1,1,1,0,1,1,0,1,1,2022,6
1596,0,0,,0,0,0,1,0,0,0,0,1,0,2015,1
1597,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,1
1598,1,0,,1,0,1,1,0,1,1,0,1,1,2022,6
1599,1,0,,1,0,0,0,1,1,1,1,0,1,2022,6
1600,1,1,,0,0,1,1,0,0,1,1,1,1,2023,6
1601,1,1,,1,0,1,1,1,1,1,,1,1,vor 2010,8
1602,,,,,,,,,,,,0,0,,0
1603,0,0,0,0,0,0,1,0,1,1,0,1,0,,3
1604,,,,,,,,,,,,0,0,,0
1605,1,0,,1,0,1,1,1,1,1,0,1,1,2019,7
1606,0,0,,0,0,0,1,0,0,0,0,1,0,2022,1
1607,0,0,,0,0,0,0,1,1,0,0,0,0,2013,2
1608,0,0,0,0,0,0,1,0,1,1,1,1,0,2021,4
1609,1,0,,1,1,1,1,0,1,1,0,1,1,2020,7
1610,1,1,,0,0,0,0,0,1,1,1,0,1,2018,5
1611,1,0,,1,0,1,1,0,0,0,0,1,1,2010,4
1612,1,0,,1,1,1,0,0,1,0,0,0,1,2014,5
1613,0,0,0,1,0,0,0,0,1,0,0,0,1,2022,2
1614,0,0,,1,0,0,0,0,0,0,0,0,1,2014,1
1615,1,0,,1,0,1,1,1,0,1,0,1,1,2022,6
1616,0,1,,0,0,0,1,0,0,1,0,1,0,2021,3
1617,1,,,1,1,1,1,1,1,1,1,1,1,2010,9
1618,0,0,,1,0,1,1,0,0,0,0,1,1,2021,3
1619,0,0,,1,0,1,1,0,0,0,0,1,1,,3
1620,,,,,,,,,,,,0,0,,0
1621,,,,,,,,,,,,0,0,,0
1622,0,0,,0,0,0,0,0,1,1,1,0,0,2019,3
1623,0,1,1,0,0,0,0,0,1,1,1,0,0,2023,5
1624,,,,,,,,,,,,0,0,,0
1625,0,0,,1,0,1,0,1,0,0,0,0,1,2022,3
1626,0,0,,0,0,0,1,0,0,0,0,1,0,2018,1
1627,,,,,,,,,,,,0,0,,0
1628,,,,,,,,,,,,0,0,,0
1629,0,0,,1,0,1,1,0,1,0,0,1,1,2019,4
1630,0,1,0,0,0,1,0,0,1,1,1,0,1,2022,5
1631,1,0,,1,0,1,1,0,1,1,1,1,1,2021,7
1632,0,,1,1,1,0,1,0,1,1,0,1,1,vor 2010,6
1633,1,0,0,0,1,1,1,0,1,1,1,1,1,2023,7
1634,1,0,,0,0,1,1,0,1,0,0,1,1,2021,4
1635,0,0,1,1,1,1,1,1,0,1,1,1,1,2023,8
1636,,,,,,,,,,,,0,0,,0
1637,,,,,,,,,,,,0,0,,0
1638,1,0,,1,1,1,1,0,1,0,0,1,1,2012,6
1639,1,0,1,1,1,1,0,0,0,1,1,0,1,vor 2010,7
1640,,,,,,,,,,,,0,0,,0
1641,0,0,0,0,0,1,1,0,1,1,1,1,1,2023,5
1642,0,0,,0,0,0,1,0,0,0,0,1,0,2021,1
1643,0,0,,1,0,1,1,1,1,0,0,1,1,2018,5
1644,1,0,,1,1,1,1,0,0,0,0,1,1,2023,5
1645,1,1,1,0,0,1,1,0,1,1,1,1,1,2022,8
1646,0,0,,0,0,0,1,0,0,0,0,1,0,2022,1
1647,0,1,0,0,0,0,1,0,1,1,1,1,0,2020,5
1648,0,0,,0,0,1,0,0,1,1,1,0,1,2016,4
1649,0,0,,0,0,1,0,1,1,0,0,0,1,vor 2010,3
1650,,,,,,,,,,,,0,0,,0
1651,,,,,,,,,,,,0,0,,0
